,DATE (LT),REGION,COUNTRY,INCIDENT TYPE,VESSEL TYPE,MAERSK?,VESSEL ACTIVITY LOCATION,LAT,LONG,TIME OF DAY,ATTACKS,ATTACK SUCCESS,YEAR,MONTH,WEEK,DAY,WEEKDAY,YEAR_MONTH,X,Y,datestring,color,REGION_NR
603,2015-02-25,East Africa,Djibouti,Suspicious activity at sea,Merchant vessel,0,Off shore,13.05,43.1,Afternoon,1,0,2015,2,9,25,2,2015-02,4797870.053190092,1465445.230655243,2015-02-25,#1f78b4,1
604,2015-02-25,South East Asia,Indonesia,Armed robbery at sea,Bulk carrier,0,Off shore,1.07333333333333,103.60666666666701,Morning,1,1,2015,2,9,25,2,2015-02,11533441.376121802,119489.90914403276,2015-02-25,#fdbf6f,6
608,2015-02-25,South East Asia,Singapore,Theft at sea,Container ship,0,Off shore,1.08166666666667,103.558333333333,Unknown,1,1,2015,2,9,25,2,2015-02,11528060.934066718,120417.73563211696,2015-02-25,#fdbf6f,6
606,2015-02-25,South East Asia,Singapore,"Failed attack, robbery",Container ship,0,Off shore,1.0815,103.575,Night,1,0,2015,2,9,25,2,2015-02,11529916.25891331,120399.17907744985,2015-02-25,#1f78b4,6
607,2015-02-25,South East Asia,Vietnam,Armed robbery at anchorage,Bulk carrier,0,Anchorage,20.696666666666697,107.28333333333299,Night,1,1,2015,2,9,25,2,2015-02,11942726.037271662,2355745.8630347755,2015-02-25,#fdbf6f,6
605,2015-02-25,South East Asia,Indonesia,"Failed attack, robbery",Bulk carrier,0,Off shore,1.13333333333333,103.46666666666701,Night,1,0,2015,2,9,25,2,2015-02,11517856.647410743,126170.31748772085,2015-02-25,#1f78b4,6
602,2015-02-26,West Africa,Nigeria,Other maritime risk,Tanker,0,Unknown,6.38830722222222,3.40139,Unknown,1,1,2015,2,9,26,3,2015-02,378641.0027893328,712621.141618869,2015-02-26,#fdbf6f,7
601,2015-03-01,East Africa,Somalia,Suspicious activity at sea,Merchant vessel,0,Berth,12.411666666666699,47.865,Unknown,1,0,2015,3,9,1,6,2015-03,5328307.42682004,1392594.9392946055,2015-03-01,#1f78b4,1
600,2015-03-03,West Africa,Nigeria,Armed robbery at sea,Passenger vessel,0,Berth,5.58333333333333,5.41666666666667,Morning,1,1,2015,3,10,3,1,2015-03,602980.5751302321,622519.8487800075,2015-03-03,#fdbf6f,7
599,2015-03-03,West Africa,Nigeria,"Failed attack, robbery",Other,0,Berth,6.44497277777778,3.38382111111111,Night,1,0,2015,3,10,3,1,2015-03,376685.24302441796,718968.8881040366,2015-03-03,#1f78b4,7
598,2015-03-05,South East Asia,Indonesia,Anti-piracy/naval operation,Merchant vessel,0,Unknown,1.13333333333333,103.916666666667,Unknown,1,0,2015,3,10,5,3,2015-03,11567950.418267716,126170.31748772085,2015-03-05,#1f78b4,6
597,2015-03-05,West Africa,Nigeria,Kidnap/ransom at sea,Unknown vessel type,0,Off shore,4.15,7.91666666666667,Evening,1,1,2015,3,10,5,3,2015-03,881279.302113416,462380.3593746778,2015-03-05,#fdbf6f,7
596,2015-03-07,South East Asia,Philippines,"Failed attack, robbery",Bulk carrier,0,Off shore,6.2185,119.836333333333,Morning,1,0,2015,3,10,7,5,2015-03,13340119.605199626,693603.307469076,2015-03-07,#1f78b4,6
595,2015-03-09,South East Asia,Indonesia,Hijacking at sea,Product tanker,0,Off shore,1.71666666666667,105.833333333333,Night,1,1,2015,3,11,9,0,2015-03,11781312.775621416,191127.05682880292,2015-03-09,#fdbf6f,6
593,2015-03-10,West Africa,Ghana,Suspicious activity at sea,Fishing vessel,0,Off shore,4.06666666666667,-0.633333333333333,Afternoon,1,0,2015,3,11,10,1,2015-03,-70502.34416907321,453079.83544304734,2015-03-10,#1f78b4,7
592,2015-03-10,East Africa,Somalia,Suspicious activity at sea,Merchant vessel,0,Off shore,13.4,50.0333333333333,Afternoon,1,0,2015,3,11,10,1,2015-03,5569685.189356784,1505468.571795932,2015-03-10,#1f78b4,1
591,2015-03-11,South East Asia,Vietnam,Armed robbery at anchorage,Bulk carrier,0,Anchorage,10.25,107.03333333333299,Morning,1,1,2015,3,11,11,2,2015-03,11914896.164573343,1147160.134446526,2015-03-11,#fdbf6f,6
590,2015-03-12,West Africa,Nigeria,Theft at anchorage,Product tanker,0,Anchorage,6.452208888888888,3.37269555555556,Evening,1,1,2015,3,11,12,3,2015-03,375446.75184518186,719779.5372630535,2015-03-12,#fdbf6f,7
589,2015-03-14,West Africa,Congo,Theft at anchorage,Other,0,Anchorage,-3.25,11.8,Night,1,1,2015,3,11,14,5,2015-03,1313569.9913606283,-361982.5115784618,2015-03-14,#fdbf6f,7
