,DATE (LT),REGION,COUNTRY,INCIDENT TYPE,VESSEL TYPE,MAERSK?,VESSEL ACTIVITY LOCATION,LAT,LONG,TIME OF DAY,ATTACKS,ATTACK SUCCESS,YEAR,MONTH,WEEK,DAY,WEEKDAY,YEAR_MONTH
88,2015-02-19,West Africa,Nigeria,Hijacking at sea,Unknown vessel type,0,Off shore,5.0333333333333306,4.63333333333333,Afternoon,1,1,2015,2,8,19,3,2015-02
89,2015-02-20,West Africa,Nigeria,Anti-piracy/naval operation,Tanker,0,Off shore,4.1628519444444505,6.03323361111111,Unknown,1,0,2015,2,8,20,4,2015-02
90,2015-02-20,South East Asia,Malaysia,Hijacking at sea,Product tanker,0,Off shore,2.14333333333333,104.653333333333,Evening,1,1,2015,2,8,20,4,2015-02
91,2015-02-21,Americas,Colombia,Other maritime risk,Tanker,0,Anchorage,10.312648611111099,-74.48845222222221,Unknown,1,1,2015,2,8,21,5,2015-02
92,2015-02-21,South East Asia,Indonesia,"Failed attack, robbery",Bulk carrier,0,Off shore,1.17,103.43666666666701,Night,1,0,2015,2,8,21,5,2015-02
93,2015-02-21,East Africa,Djibouti,Suspicious activity at sea,Merchant vessel,0,Off shore,13.05,43.1,Morning,1,0,2015,2,8,21,5,2015-02
94,2015-02-23,West Africa,Nigeria,Armed robbery at sea,Product tanker,0,Off shore,4.25,7.93333333333333,Night,1,1,2015,2,9,23,0,2015-02
95,2015-02-25,East Africa,Djibouti,Suspicious activity at sea,Merchant vessel,0,Off shore,13.05,43.1,Afternoon,1,0,2015,2,9,25,2,2015-02
96,2015-02-25,South East Asia,Indonesia,Armed robbery at sea,Bulk carrier,0,Off shore,1.07333333333333,103.60666666666701,Morning,1,1,2015,2,9,25,2,2015-02
97,2015-02-25,South East Asia,Singapore,Theft at sea,Container ship,0,Off shore,1.0816666666666699,103.558333333333,Unknown,1,1,2015,2,9,25,2,2015-02
98,2015-02-25,South East Asia,Singapore,"Failed attack, robbery",Container ship,0,Off shore,1.0815,103.575,Night,1,0,2015,2,9,25,2,2015-02
99,2015-02-25,South East Asia,Vietnam,Armed robbery at anchorage,Bulk carrier,0,Anchorage,20.696666666666697,107.28333333333299,Night,1,1,2015,2,9,25,2,2015-02
100,2015-02-25,South East Asia,Indonesia,"Failed attack, robbery",Bulk carrier,0,Off shore,1.13333333333333,103.46666666666701,Night,1,0,2015,2,9,25,2,2015-02
101,2015-02-26,West Africa,Nigeria,Other maritime risk,Tanker,0,Unknown,6.3883072222222195,3.40139,Unknown,1,1,2015,2,9,26,3,2015-02
102,2015-03-01,East Africa,Somalia,Suspicious activity at sea,Merchant vessel,0,Berth,12.411666666666699,47.865,Unknown,1,0,2015,3,9,1,6,2015-03
103,2015-03-03,West Africa,Nigeria,Armed robbery at sea,Passenger vessel,0,Berth,5.58333333333333,5.41666666666667,Morning,1,1,2015,3,10,3,1,2015-03
104,2015-03-03,West Africa,Nigeria,"Failed attack, robbery",Other,0,Berth,6.44497277777778,3.38382111111111,Night,1,0,2015,3,10,3,1,2015-03
105,2015-03-05,South East Asia,Indonesia,Anti-piracy/naval operation,Merchant vessel,0,Unknown,1.13333333333333,103.916666666667,Unknown,1,0,2015,3,10,5,3,2015-03
106,2015-03-05,West Africa,Nigeria,Kidnap/ransom at sea,Unknown vessel type,0,Off shore,4.15,7.91666666666667,Evening,1,1,2015,3,10,5,3,2015-03
107,2015-03-07,South East Asia,Philippines,"Failed attack, robbery",Bulk carrier,0,Off shore,6.2185,119.836333333333,Morning,1,0,2015,3,10,7,5,2015-03
108,2015-03-09,South East Asia,Indonesia,Hijacking at sea,Product tanker,0,Off shore,1.71666666666667,105.833333333333,Night,1,1,2015,3,11,9,0,2015-03
109,2015-03-10,Europe,Ukraine,Other maritime risk,General cargo vessel,0,Unknown,44.6235380555556,33.5199738888889,Unknown,1,1,2015,3,11,10,1,2015-03
110,2015-03-10,West Africa,Ghana,Suspicious activity at sea,Fishing vessel,0,Off shore,4.06666666666667,-0.633333333333333,Afternoon,1,0,2015,3,11,10,1,2015-03
111,2015-03-10,East Africa,Somalia,Suspicious activity at sea,Merchant vessel,0,Off shore,13.4,50.0333333333333,Afternoon,1,0,2015,3,11,10,1,2015-03
112,2015-03-11,South East Asia,Vietnam,Armed robbery at anchorage,Bulk carrier,0,Anchorage,10.25,107.03333333333299,Morning,1,1,2015,3,11,11,2,2015-03
113,2015-03-12,West Africa,Nigeria,Theft at anchorage,Product tanker,0,Anchorage,6.452208888888889,3.37269555555556,Evening,1,1,2015,3,11,12,3,2015-03
114,2015-03-14,West Africa,Congo,Theft at anchorage,Other,0,Anchorage,-3.25,11.8,Night,1,1,2015,3,11,14,5,2015-03
115,2015-03-15,West Africa,Nigeria,Anti-piracy/naval operation,Unknown vessel type,0,Unknown,6.1399574999999995,3.40644833333333,Unknown,1,0,2015,3,11,15,6,2015-03
116,2015-03-15,South East Asia,Singapore,"Failed attack, robbery",Product tanker,0,Off shore,1.07483333333333,103.578833333333,Night,1,0,2015,3,11,15,6,2015-03
